symbol,name,1,2,reference,alias,document,footprint,description,keywords,manufacturer,value
inductor,74459215,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 150 uH, WE-PD3, Type X",inductor,Würth,150 uH,
inductor,74459222,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 220 uH, WE-PD3, Type X",inductor,Würth,220 uH,
inductor,74459233,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 330 uH, WE-PD3, Type X",inductor,Würth,330 uH,
inductor,74459247,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 470 uH, WE-PD3, Type X",inductor,Würth,470 uH,
inductor,74459268,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 680 uH, WE-PD3, Type X",inductor,Würth,680 uH,
inductor,7445930,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 1000 uH, WE-PD3, Type X",inductor,Würth,1000 uH,
inductor,0402HP-1N0XJL_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,72,16.0,inductor,CoilCraft,1.0 nH,
inductor,0402HP-2N0XJL_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,85,15.2,inductor,CoilCraft,2.0 nH,
inductor,0402HP-2N2XJL_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,86,15.1,inductor,CoilCraft,2.2 nH,
inductor,0402HP-2N4X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,83,14.0,inductor,CoilCraft,2.4 nH,
inductor,0402HP-2N7X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,85,13.0,inductor,CoilCraft,2.7 nH,
inductor,0402HP-3N3X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,95,12.8,inductor,CoilCraft,3.3 nH,
