symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,power
resistor,resistor_1k6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1k6 5% 0.05W,"resistor, smd",1,2,1k6,5%,0.05W
resistor,resistor_1k8_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1k8 5% 0.05W,"resistor, smd",1,2,1k8,5%,0.05W
resistor,resistor_2k0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2k0 5% 0.05W,"resistor, smd",1,2,2k0,5%,0.05W
resistor,resistor_2k2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2k2 5% 0.05W,"resistor, smd",1,2,2k2,5%,0.05W
resistor,resistor_2k4_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2k4 5% 0.05W,"resistor, smd",1,2,2k4,5%,0.05W
resistor,resistor_2k7_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2k7 5% 0.05W,"resistor, smd",1,2,2k7,5%,0.05W
resistor,resistor_3k0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3k0 5% 0.05W,"resistor, smd",1,2,3k0,5%,0.05W
resistor,resistor_3k3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3k3 5% 0.05W,"resistor, smd",1,2,3k3,5%,0.05W
resistor,resistor_3k6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3k6 5% 0.05W,"resistor, smd",1,2,3k6,5%,0.05W
resistor,resistor_3k9_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3k9 5% 0.05W,"resistor, smd",1,2,3k9,5%,0.05W
resistor,resistor_4k3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 4k3 5% 0.05W,"resistor, smd",1,2,4k3,5%,0.05W
resistor,resistor_4k7_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 4k7 5% 0.05W,"resistor, smd",1,2,4k7,5%,0.05W
resistor,resistor_5k1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 5k1 5% 0.05W,"resistor, smd",1,2,5k1,5%,0.05W
resistor,resistor_5k6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 5k6 5% 0.05W,"resistor, smd",1,2,5k6,5%,0.05W
resistor,resistor_6k2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 6k2 5% 0.05W,"resistor, smd",1,2,6k2,5%,0.05W
resistor,resistor_6k8_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 6k8 5% 0.05W,"resistor, smd",1,2,6k8,5%,0.05W
resistor,resistor_7k5_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 7k5 5% 0.05W,"resistor, smd",1,2,7k5,5%,0.05W
resistor,resistor_8k2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 8k2 5% 0.05W,"resistor, smd",1,2,8k2,5%,0.05W
resistor,resistor_9k1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 9k1 5% 0.05W,"resistor, smd",1,2,9k1,5%,0.05W
resistor,resistor_10k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 10k 5% 0.05W,"resistor, smd",1,2,10k,5%,0.05W
resistor,resistor_11k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 11k 5% 0.05W,"resistor, smd",1,2,11k,5%,0.05W
resistor,resistor_12k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 12k 5% 0.05W,"resistor, smd",1,2,12k,5%,0.05W
resistor,resistor_13k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 13k 5% 0.05W,"resistor, smd",1,2,13k,5%,0.05W
