symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_22n_100V_chip_1210,C,chip_capacitor_1210,Capacitor 22nF 100V,"capacitor,smd",1,2,22n,5%,100V,"12101C223"
capacitor,capacitor_150n_16V_chip_1206,C,chip_capacitor_1206,Capacitor 150nF 16V,"capacitor,smd",1,2,150n,5%,16V,"1206YC154"
capacitor,capacitor_15n_200V_chip_1210,C,chip_capacitor_1210,Capacitor 15nF 200V,"capacitor,smd",1,2,15n,5%,200V,"12102C153"
capacitor,capacitor_2n2_500V_chip_1206,C,chip_capacitor_1206,Capacitor 2n2F 500V,"capacitor,smd",1,2,2n2,5%,500V,"12067C222"
capacitor,capacitor_10n_25V_chip_1812,C,chip_capacitor_1812,Capacitor 10nF 25V,"capacitor,smd",1,2,10n,5%,25V,"18123C103"
capacitor,capacitor_3n3_100V_chip_0805,C,chip_capacitor_0805,Capacitor 3n3F 100V,"capacitor,smd",1,2,3n3,5%,100V,"08051C332"
capacitor,capacitor_330n_25V_chip_1812,C,chip_capacitor_1812,Capacitor 330nF 25V,"capacitor,smd",1,2,330n,5%,25V,"18123C334"
capacitor,capacitor_470n_50V_chip_2225,C,chip_capacitor_2225,Capacitor 470nF 50V,"capacitor,smd",1,2,470n,5%,50V,"22255C474"
capacitor,capacitor_680p_25V_chip_0201,C,chip_capacitor_0201,Capacitor 680pF 25V,"capacitor,smd",1,2,680p,5%,25V,"02013C681"
capacitor,capacitor_1n5_25V_chip_0201,C,chip_capacitor_0201,Capacitor 1n5F 25V,"capacitor,smd",1,2,1n5,5%,25V,"02013C152"
capacitor,capacitor_10u_50V_chip_2220,C,chip_capacitor_2220,Capacitor 10uF 50V,"capacitor,smd",1,2,10u,5%,50V,"22205C106"
capacitor,capacitor_2u2_25V_chip_1812,C,chip_capacitor_1812,Capacitor 2u2F 25V,"capacitor,smd",1,2,2u2,5%,25V,"18123C225"
capacitor,capacitor_330p_25V_chip_0805,C,chip_capacitor_0805,Capacitor 330pF 25V,"capacitor,smd",1,2,330p,5%,25V,"08053C331"
capacitor,capacitor_68n_25V_chip_1206,C,chip_capacitor_1206,Capacitor 68nF 25V,"capacitor,smd",1,2,68n,5%,25V,"12063C683"
capacitor,capacitor_1n5_100V_chip_1206,C,chip_capacitor_1206,Capacitor 1n5F 100V,"capacitor,smd",1,2,1n5,5%,100V,"12061C152"
capacitor,capacitor_2u2_100V_chip_1210,C,chip_capacitor_1210,Capacitor 2u2F 100V,"capacitor,smd",1,2,2u2,5%,100V,"12101C225"
capacitor,capacitor_4u7_10V_chip_0805,C,chip_capacitor_0805,Capacitor 4u7F 10V,"capacitor,smd",1,2,4u7,5%,10V,"0805ZC475"
capacitor,capacitor_4n7_500V_chip_1210,C,chip_capacitor_1210,Capacitor 4n7F 500V,"capacitor,smd",1,2,4n7,5%,500V,"12107C472"
capacitor,capacitor_330n_50V_chip_0805,C,chip_capacitor_0805,Capacitor 330nF 50V,"capacitor,smd",1,2,330n,5%,50V,"08055C334"
capacitor,capacitor_1u_100V_chip_1825,C,chip_capacitor_1825,Capacitor 1uF 100V,"capacitor,smd",1,2,1u,5%,100V,"18251C1004"
capacitor,capacitor_47n_16V_chip_0402,C,chip_capacitor_0402,Capacitor 47nF 16V,"capacitor,smd",1,2,47n,5%,16V,"0402YC473"
