symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_3p1_100V_chip_0603,C,chip_capacitor_0603,Capacitor 3p1 5% 100V,"capacitor,smd",1,2,3p1,5%,100V,"GRM1895C2A3R1,GRM1892C2A3R1"
capacitor,capacitor_15n_100V_chip_1210,C,chip_capacitor_1210,Capacitor 15n 5% 100V,"capacitor,smd",1,2,15n,5%,100V,"12101A153"
capacitor,capacitor_1p6_50V_chip_0603,C,chip_capacitor_0603,Capacitor 1p6 5% 50V,"capacitor,smd",1,2,1p6,5%,50V,"GRM1895C1H1R6,GRM1894C1H1R6"
capacitor,capacitor_2n2_100V_chip_1206,C,chip_capacitor_1206,Capacitor 2n2 5% 100V,"capacitor,smd",1,2,2n2,5%,100V,"GRM31955C2A222,GRM31952C2A222,12061A222"
capacitor,capacitor_22u_50V_chip_2220,C,chip_capacitor_2220,Capacitor 22u 5% 50V,"capacitor,smd",1,2,22u,5%,50V,"22205A226"
capacitor,capacitor_10n_50V_chip_1812,C,chip_capacitor_1812,Capacitor 10n 5% 50V,"capacitor,smd",1,2,10n,5%,50V,"18125A103"
capacitor,capacitor_470n_25V_chip_1812,C,chip_capacitor_1812,Capacitor 470n 5% 25V,"capacitor,smd",1,2,470n,5%,25V,"18123A474"
capacitor,capacitor_10n_100V_chip_1825,C,chip_capacitor_1825,Capacitor 10n 5% 100V,"capacitor,smd",1,2,10n,5%,100V,"18251A103"
capacitor,capacitor_2p_16V_chip_01005,C,chip_capacitor_01005,Capacitor 2p 5% 16V,"capacitor,smd",1,2,2p,5%,16V,"GRM0225C1C2R0,GRM0224C1C2R0,GRM0222C1C2R0"
capacitor,capacitor_1n2_500V_chip_1206,C,chip_capacitor_1206,Capacitor 1n2 5% 500V,"capacitor,smd",1,2,1n2,5%,500V,"GRM31A7U2H122"
capacitor,capacitor_1n5_250V_chip_0805,C,chip_capacitor_0805,Capacitor 1n5 5% 250V,"capacitor,smd",1,2,1n5,5%,250V,"GRM21A7U2E152"
capacitor,capacitor_33p_1000V_chip_1206,C,chip_capacitor_1206,Capacitor 33p 5% 1000V,"capacitor,smd",1,2,33p,5%,1000V,"GRM31A5C3A330,GRM31A7U3A330"
capacitor,capacitor_4p6_100V_chip_0603,C,chip_capacitor_0603,Capacitor 4p6 5% 100V,"capacitor,smd",1,2,4p6,5%,100V,"GRM1895C2A4R6,GRM1892C2A4R6"
capacitor,capacitor_9p7_100V_chip_0201,C,chip_capacitor_0201,Capacitor 9p7 5% 100V,"capacitor,smd",1,2,9p7,5%,100V,"GRM0335C2A9R7,GRM0332C2A9R7"
capacitor,capacitor_680n_100V_chip_1210,C,chip_capacitor_1210,Capacitor 680n 5% 100V,"capacitor,smd",1,2,680n,5%,100V,"12101A684"
capacitor,capacitor_680n_100V_chip_2220,C,chip_capacitor_2220,Capacitor 680n 5% 100V,"capacitor,smd",1,2,680n,5%,100V,"22201A684"
capacitor,capacitor_6p2_250V_chip_1210,C,chip_capacitor_1210,Capacitor 6p2 5% 250V,"capacitor,smd",1,2,6p2,5%,250V,"GRM32D5C2E6R2"
capacitor,capacitor_150p_630V_chip_1206,C,chip_capacitor_1206,Capacitor 150p 5% 630V,"capacitor,smd",1,2,150p,5%,630V,"GRM31A5C2J151,GRM31A7U2J151"
capacitor,capacitor_2n2_10V_chip_1206,C,chip_capacitor_1206,Capacitor 2n2 5% 10V,"capacitor,smd",1,2,2n2,5%,10V,"1206ZA222"
